from	to	from.marker	to.marker	width	from.bp	to.bp	chromosome	logP	pointwise.permute.pval	genomewide.permute.pval
26	26	MASC03060	MASC03060	1	3173449	3173449	chr2	1.24748305017878	0.069	0.99
27	27	MASC05803	MASC05803	1	3531979	3531979	chr2	1.28137844858308	0.065	0.988
28	28	SGCSNP1828	SGCSNP1828	1	3785639	3785639	chr2	1.16252960092896	0.07	0.996
29	29	MASC05711	MASC05711	1	3818393	3818393	chr2	1.18851918238868	0.067	0.996
30	30	MASC05848	MASC05848	1	3933118	3933118	chr2	1.36787429089637	0.05	0.973
31	31	NMSNP2_3946439	NMSNP2_3946439	1	NA	NA	chr2	1.38298226320588	0.047	0.97
32	32	MASC05857	MASC05857	1	4263348	4263348	chr2	1.04079037649978	0.096	1
33	33	MN2_4354465	MN2_4354465	1	4354466	4354466	chr2	0.964487268536516	0.117	1
34	34	MN2_4354824	MN2_4354824	1	4354822	4354822	chr2	1.11868912174185	0.083	0.999
35	35	MASC05420	MASC05420	1	4600612	4600612	chr2	1.1692191745943	0.08	0.996
36	36	MN2_5085768	MN2_5085768	1	5085769	5085769	chr2	1.03365740633532	0.107	1
37	37	MASC05360	MASC05360	1	5186438	5186438	chr2	0.91817012291263	0.144	1
38	38	MN2_5250093	MN2_5250093	1	5250094	5250094	chr2	1.161072868768	0.076	0.996
39	39	MASC05766	MASC05766	1	5674062	5674062	chr2	1.11058098751972	0.086	0.999
40	40	NMSNP2_6032798	NMSNP2_6032798	1	NA	NA	chr2	1.21825618324342	0.066	0.993
41	41	MASC07357	MASC07357	1	6161913	6161913	chr2	1.14900515702491	0.085	0.997
42	42	MN2_6654226	MN2_6654226	1	6654228	6654228	chr2	1.06179007007744	0.097	1
43	43	MASC05757	MASC05757	1	6831344	6831344	chr2	1.09257443111110	0.086	1
44	44	MN2_7072735	MN2_7072735	1	7072737	7072737	chr2	0.95339713163741	0.115	1
45	45	MASC05443	MASC05443	1	7089311	7089311	chr2	0.912229536287076	0.131	1
46	46	NMSNP2_7150490	NMSNP2_7150490	1	NA	NA	chr2	0.807221232487898	0.16	1
47	47	MASC05484	MASC05484	1	7172479	7172479	chr2	0.710991010935448	0.2	1
48	48	MN2_7551582	MN2_7551582	1	7551584	7551584	chr2	0.692190607775414	0.208	1
49	49	MN2_7650227	MN2_7650227	1	7650229	7650229	chr2	0.736259195746173	0.185	1
50	50	FDP_22	FDP_22	1	7729169	7729169	chr2	0.667236580111531	0.208	1
51	51	FDP_354	FDP_354	1	7729501	7729501	chr2	0.647946325425516	0.213	1
52	52	FDP_733	FDP_733	1	7729880	7729880	chr2	0.981911653736003	0.103	1
53	53	FDP_896	FDP_896	1	7730041	7730041	chr2	1.09219587969196	0.073	1
54	54	FDP_2020	FDP_2020	1	7731159	7731159	chr2	1.13125993544243	0.069	0.999
55	55	MN2_7742622	MN2_7742622	1	7742623	7742623	chr2	1.06846787718181	0.09	1
56	56	MN2_8041868	MN2_8041868	1	8041869	8041869	chr2	1.15083263026781	0.068	0.997
57	57	PHYB_476	PHYB_476	1	8146424	8146424	chr2	1.17972568589982	0.066	0.996
58	58	PHYB_617	PHYB_617	1	8146565	8146565	chr2	1.14079859211016	0.074	0.998
59	59	PHYB_1645	PHYB_1645	1	8147588	8147588	chr2	1.21371207680086	0.062	0.993
60	60	PHYB_2850	PHYB_2850	1	8148793	8148793	chr2	1.16895840038487	0.071	0.996
61	61	PHYB_3060	PHYB_3060	1	8149003	8149003	chr2	1.20457066395980	0.069	0.994
62	62	PHYB_4171	PHYB_4171	1	8150114	8150114	chr2	1.22112970627959	0.067	0.993
63	63	PHYB_5215	PHYB_5215	1	8151156	8151156	chr2	1.32044140752325	0.051	0.981
64	64	MN2_8323924	MN2_8323924	1	8323925	8323925	chr2	1.3256688767688	0.053	0.98
65	65	MN2_8443352	MN2_8443352	1	8443352	8443352	chr2	1.27685180414895	0.067	0.989
66	66	FVE_1851	FVE_1851	1	8463591	8463591	chr2	1.29765573743190	0.062	0.986
67	67	MASC07330	MASC07330	1	8522337	8522337	chr2	1.20676507185125	0.067	0.994
68	68	MN2_8594369	MN2_8594369	1	8594370	8594370	chr2	1.18330104775569	0.07	0.996
69	69	MN2_8659973	MN2_8659973	1	8659974	8659974	chr2	1.12028093256744	0.083	0.999
70	70	MASC07166	MASC07166	1	8732740	8732740	chr2	1.08328533867069	0.086	1
71	71	MN2_8750048	MN2_8750048	1	8750048	8750048	chr2	1.13501147982360	0.08	0.999
72	72	MN2_8799676	MN2_8799676	1	8799677	8799677	chr2	1.18140575416004	0.073	0.996
73	73	MASC02995	MASC02995	1	8977457	8977457	chr2	1.27276712940202	0.063	0.989
74	74	MASC05584	MASC05584	1	9144043	9144043	chr2	1.52327324282405	0.039	0.92
75	75	MN2_9256094	MN2_9256094	1	9256096	9256096	chr2	1.27880362589483	0.059	0.989
76	76	MN2_9256220	MN2_9256220	1	9256222	9256222	chr2	1.62620750868213	0.02	0.883
77	77	MASC02600	MASC02600	1	9390913	9390913	chr2	1.79100537445653	0.012	0.797
78	78	MN2_9428987	MN2_9428987	1	9428988	9428988	chr2	1.50880954498686	0.025	0.926
79	79	MASC07354	MASC07354	1	9571362	9571362	chr2	1.48893616114391	0.025	0.934
80	80	SVP_88	SVP_88	1	9586217	9586217	chr2	1.51798571518398	0.025	0.922
81	81	SVP_694	SVP_694	1	9586818	9586818	chr2	1.48935474773030	0.03	0.934
82	82	SVP_993	SVP_993	1	9587116	9587116	chr2	1.43707893487512	0.032	0.959
83	83	SVP_3403	SVP_3403	1	9589518	9589518	chr2	1.32212678721923	0.038	0.981
84	84	SVP_4824	SVP_4824	1	9590921	9590921	chr2	1.16297871223049	0.069	0.996
85	85	MN2_9653239	MN2_9653239	1	9653240	9653240	chr2	1.26015020712022	0.049	0.99
86	86	MASC02928	MASC02928	1	9759616	9759616	chr2	1.45828940660292	0.029	0.951
87	87	MASC03019	MASC03019	1	9907424	9907424	chr2	1.49722247589044	0.03	0.931
88	88	MN2_10134400	MN2_10134400	1	10134401	10134401	chr2	1.78548336664785	0.015	0.801
89	89	MN2_10249407	MN2_10249407	1	10249408	10249408	chr2	1.68609831626993	0.02	0.856
90	90	MN2_10566684	MN2_10566684	1	10566672	10566672	chr2	1.7766906913492	0.022	0.807
91	91	MN2_10799937	MN2_10799937	1	10799936	10799936	chr2	1.84444069669709	0.019	0.762
92	92	MN2_10900221	MN2_10900221	1	10900222	10900222	chr2	1.91008855264582	0.019	0.722
93	93	MASC02949	MASC02949	1	10940331	10940331	chr2	1.77433047453113	0.02	0.809
94	94	MAX1_26	MAX1_26	1	11149688	11149688	chr2	1.9810091181176	0.015	0.675
95	95	MAX1_402	MAX1_402	1	11150064	11150064	chr2	1.97219287429438	0.014	0.678
96	96	MAX1_657	MAX1_657	1	11150319	11150319	chr2	1.99176134372846	0.012	0.671
97	97	MASC05927	MASC05927	1	11174979	11174979	chr2	2.03056701960136	0.013	0.643
98	98	MASC05920	MASC05920	1	11206822	11206822	chr2	2.11414690303154	0.011	0.597
99	99	ER_472	ER_472	1	11215620	11215620	chr2	2.05452289543738	0.011	0.628
100	100	MN2_11300378	MN2_11300378	1	11300373	11300373	chr2	2.10384677320604	0.01	0.601
101	101	MASC06116	MASC06116	1	11331465	11331465	chr2	1.96037170319628	0.016	0.685
102	102	MASC09221	MASC09221	1	11431844	11431844	chr2	2.07596093153697	0.011	0.618
103	103	MN2_11457357	MN2_11457357	1	11457345	11457345	chr2	2.20741157259343	0.006	0.548
104	104	MASC05372	MASC05372	1	11486592	11486592	chr2	2.19793616222191	0.009	0.557
105	105	MASC02863	MASC02863	1	11547874	11547874	chr2	2.19638726600500	0.007	0.557
106	106	MN2_11564603	MN2_11564603	1	11564605	11564605	chr2	2.13301133009052	0.009	0.588
107	107	MN2_11595170	MN2_11595170	1	11595111	11595111	chr2	2.08169877572107	0.008	0.613
108	108	MN2_11691452	MN2_11691452	1	11691453	11691453	chr2	2.29204142689461	0.005	0.498
109	109	MASC05327	MASC05327	1	11736431	11736431	chr2	2.06677252970625	0.011	0.622
110	110	ATC_828	ATC_828	1	11780160	11780160	chr2	1.84381224448218	0.022	0.763
111	111	ATC_1679	ATC_1679	1	11781007	11781007	chr2	1.85570529124741	0.021	0.756
112	112	ATC_2596	ATC_2596	1	11781922	11781922	chr2	2.21478509513673	0.01	0.541
113	113	MASC00349	MASC00349	1	11824799	11824799	chr2	1.52341487649953	0.035	0.919
114	114	MN2_12187411	MN2_12187411	1	12187412	12187412	chr2	1.7844653951703	0.019	0.802
115	115	MN2_12296907	MN2_12296907	1	12296908	12296908	chr2	1.50797041461672	0.036	0.926
116	116	MN2_12435349	MN2_12435349	1	12435349	12435349	chr2	1.45782153565472	0.039	0.951
117	117	MASC07284	MASC07284	1	12619886	12619886	chr2	1.49825881912310	0.04	0.931
118	118	MN2_12655100	MN2_12655100	1	12655102	12655102	chr2	1.58196468998303	0.035	0.903
119	119	MASC02492	MASC02492	1	12764382	12764382	chr2	1.78248408424178	0.017	0.803
120	120	MASC02787	MASC02787	1	12981812	12981812	chr2	1.82416064488769	0.018	0.773
121	121	MN2_13090443	MN2_13090443	1	13090444	13090444	chr2	1.63512725247166	0.026	0.878
122	122	MN2_13201786	MN2_13201786	1	13201788	13201788	chr2	1.46541445297953	0.035	0.948
123	123	MN2_13265590	MN2_13265590	1	13265591	13265591	chr2	1.50601128283956	0.032	0.927
124	124	MASC05434	MASC05434	1	13296782	13296782	chr2	1.42932353072854	0.037	0.96
125	125	MN2_13326105	MN2_13326105	1	13326106	13326106	chr2	1.37474593497425	0.04	0.971
126	126	MN2_13326473	MN2_13326473	1	13326475	13326475	chr2	1.46343339487505	0.032	0.948
127	127	MN2_13471565	MN2_13471565	1	13471566	13471566	chr2	1.49683232423469	0.028	0.932
128	128	MN2_13605144	MN2_13605144	1	13605145	13605145	chr2	1.44163763115168	0.033	0.958
129	129	MN2_13756416	MN2_13756416	1	13756417	13756417	chr2	1.41160916733749	0.042	0.966
130	130	MASC02512	MASC02512	1	13790015	13790015	chr2	1.14857305450161	0.076	0.997
131	131	MASC02971	MASC02971	1	13986387	13986387	chr2	1.02823927546047	0.093	1
132	132	MN2_14003409	MN2_14003409	1	14003410	14003410	chr2	0.918952112536574	0.112	1
133	133	MASC00585	MASC00585	1	14043647	14043647	chr2	0.872514207847696	0.132	1
134	134	SAR1_280	SAR1_280	1	14051279	14051279	chr2	0.87325038742842	0.137	1
135	135	SAR1_183	SAR1_183	1	14051376	14051376	chr2	0.846402938399577	0.151	1
136	136	MASC06798	MASC06798	1	14316720	14316720	chr2	0.77801237087522	0.177	1
137	137	FES1_3177	FES1_3177	1	14318911	14318911	chr2	0.77674796742588	0.179	1
138	138	FES1_2930	FES1_2930	1	14319158	14319158	chr2	0.775430888939773	0.18	1
139	139	FES1_1877	FES1_1877	1	14320211	14320211	chr2	0.770283418562641	0.179	1
140	140	FES1_1177	FES1_1177	1	14320911	14320911	chr2	0.69370399263641	0.21	1
141	141	MN2_14350717	MN2_14350717	1	14350718	14350718	chr2	0.683575474234644	0.212	1
142	142	MASC05841	MASC05841	1	14367864	14367864	chr2	0.684954499739091	0.212	1
143	143	MASC09222	MASC09222	1	14382486	14382486	chr2	0.581428103287212	0.268	1
144	144	MN2_14406873	MN2_14406873	1	14406871	14406871	chr2	0.549577139336126	0.29	1
145	145	MN2_14407001	MN2_14407001	1	14407003	14407003	chr2	0.609660368054915	0.251	1
146	146	MN2_14583090	MN2_14583090	1	14583091	14583091	chr2	0.522782923231121	0.299	1
147	147	NMSNP2_14697188	NMSNP2_14697188	1	NA	NA	chr2	0.567947865119094	0.283	1
148	148	MN2_14801460	MN2_14801460	1	14801461	14801461	chr2	0.532458291267962	0.3	1
149	149	MASC06034	MASC06034	1	14943401	14943401	chr2	0.591575005742245	0.275	1
150	150	MN2_14949589	MN2_14949589	1	14949575	14949575	chr2	0.701707763270287	0.204	1
151	151	MN2_15251700	MN2_15251700	1	15251701	15251701	chr2	0.804947806732484	0.153	1
152	152	MASC05384	MASC05384	1	15400219	15400219	chr2	1.01156155334256	0.104	1
153	153	RAX2_405	RAX2_405	1	15494202	15494202	chr2	1.03004029430821	0.098	1
154	154	MN2_15565512	MN2_15565512	1	15565513	15565513	chr2	0.797816932218752	0.159	1
155	155	MASC05402	MASC05402	1	15782832	15782832	chr2	1.38287092953792	0.041	0.97
156	156	MASC05385	MASC05385	1	15782990	15782990	chr2	0.790376781219884	0.162	1
157	157	MN2_15801493	MN2_15801493	1	15801495	15801495	chr2	0.500553671764156	0.317	1
158	158	MN2_16080260	MN2_16080260	1	16080261	16080261	chr2	0.503904904937109	0.309	1
159	159	MASC02232	MASC02232	1	16310862	16310862	chr2	0.500955166701368	0.316	1
160	160	MN2_16352463	MN2_16352463	1	16352464	16352464	chr2	0.482339521098519	0.322	1
161	161	MN2_16437489	MN2_16437489	1	16437490	16437490	chr2	0.374858522913357	0.414	1
162	162	MN2_16487410	MN2_16487410	1	16487411	16487411	chr2	0.387475531107189	0.405	1
163	163	MASC06077	MASC06077	1	16619473	16619473	chr2	0.321612004293025	0.466	1
164	164	HOS1_1176	HOS1_1176	1	16620610	16620610	chr2	0.344095419306641	0.443	1
165	165	HOS1_1788	HOS1_1788	1	16621172	16621172	chr2	0.370567808113026	0.413	1
166	166	HOS1_5516	HOS1_5516	1	16624899	16624899	chr2	0.38250834834512	0.398	1
167	167	HOS1_5595	HOS1_5595	1	16624976	16624976	chr2	0.337198770928844	0.446	1
168	168	HOS1_5954	HOS1_5954	1	16625334	16625334	chr2	0.361954720658242	0.422	1
169	169	MN2_16684166	MN2_16684166	1	16684167	16684167	chr2	0.346060224405872	0.436	1
170	170	MN2_16837474	MN2_16837474	1	16837475	16837475	chr2	0.313430632769445	0.472	1
171	171	MASC02930	MASC02930	1	16865598	16865598	chr2	0.291423951682778	0.496	1
172	172	MASC06022	MASC06022	1	16893586	16893586	chr2	0.261727167212966	0.533	1
173	173	NMSNP2_16908351	NMSNP2_16908351	1	NA	NA	chr2	0.282398000069515	0.506	1
174	174	MN2_17051422	MN2_17051422	1	17051423	17051423	chr2	0.263161463647840	0.52	1
175	175	MASC02158	MASC02158	1	17121587	17121587	chr2	0.332311643337861	0.449	1
176	176	MN2_17304379	MN2_17304379	1	17304380	17304380	chr2	0.346394758939172	0.439	1
177	177	MN2_17606148	MN2_17606148	1	17606149	17606149	chr2	0.490574960814686	0.321	1
178	178	MN2_17656418	MN2_17656418	1	17656415	17656415	chr2	0.463351139875165	0.352	1
179	179	MAX2_67	MAX2_67	1	17763987	17763987	chr2	0.551635844450218	0.276	1
180	180	MAX2_216	MAX2_216	1	17764136	17764136	chr2	0.516788190068336	0.297	1
181	181	MAX2_582	MAX2_582	1	17764502	17764502	chr2	0.491502292422075	0.317	1
182	182	MAX2_752	MAX2_752	1	17764672	17764672	chr2	0.447699443268468	0.355	1
183	183	MN2_17792406	MN2_17792406	1	17792397	17792397	chr2	0.488332110021761	0.321	1
184	184	MN2_17844494	MN2_17844494	1	17844478	17844478	chr2	0.511995421352684	0.3	1
185	185	MN2_17860020	MN2_17860020	1	17860021	17860021	chr2	0.516174217920875	0.299	1
186	186	MN2_17899626	MN2_17899626	1	17899627	17899627	chr2	0.73695673186803	0.177	1
187	187	MASC02020	MASC02020	1	17998875	17998875	chr2	0.861494829083928	0.124	1
188	188	NMSNP2_18004250	NMSNP2_18004250	1	NA	NA	chr2	1.05602068919563	0.075	1
189	189	MN2_18034146	MN2_18034146	1	18034147	18034147	chr2	1.04509597694471	0.083	1
190	190	MASC03046	MASC03046	1	18344240	18344240	chr2	1.48512883099791	0.029	0.938
191	191	MN2_18402190	MN2_18402190	1	18402147	18402147	chr2	1.14879903187065	0.062	0.997
192	192	MAX3_67	MAX3_67	1	18566080	18566080	chr2	1.14615351962645	0.06	0.998
193	193	MAX3_141	MAX3_141	1	18566154	18566154	chr2	1.03741498088950	0.082	1
194	194	MN2_18603109	MN2_18603109	1	18603109	18603109	chr2	0.959094324638071	0.104	1
195	195	MN2_18701292	MN2_18701292	1	18701292	18701292	chr2	1.03405587230367	0.084	1
196	196	MN2_18753024	MN2_18753024	1	18753025	18753025	chr2	1.04239484528851	0.084	1
197	197	SOC1_2890	SOC1_2890	1	18816351	18816351	chr2	1.15627140578333	0.062	0.997
198	198	SOC1_2742	SOC1_2742	1	18816498	18816498	chr2	0.865965331650539	0.139	1
199	199	SOC1_2480	SOC1_2480	1	18816760	18816760	chr2	0.810696187098953	0.15	1
200	200	SOC1_1594	SOC1_1594	1	18817641	18817641	chr2	0.804281463830428	0.149	1
201	201	SOC1_1494	SOC1_1494	1	18817741	18817741	chr2	0.745136876925997	0.166	1
202	202	SOC1_651	SOC1_651	1	18818582	18818582	chr2	0.736343149173312	0.17	1
203	203	SOC1_461	SOC1_461	1	18818770	18818770	chr2	0.813045463143114	0.145	1
204	204	MN2_18954429	MN2_18954429	1	18954430	18954430	chr2	0.825130421346881	0.138	1
205	205	MASC06044	MASC06044	1	18975732	18975732	chr2	0.830999767942172	0.14	1
206	206	MN2_18986211	MN2_18986211	1	18986201	18986201	chr2	0.881262604480984	0.127	1
207	207	MN2_19104250	MN2_19104250	1	19104251	19104251	chr2	0.915530030930009	0.118	1
208	208	MN2_19253011	MN2_19253011	1	19253006	19253006	chr2	0.927706954323784	0.113	1
209	209	MN2_19504653	MN2_19504653	1	19504654	19504654	chr2	0.901946522381905	0.129	1
210	210	MN2_19602061	MN2_19602061	1	19602061	19602061	chr2	0.932095867738086	0.122	1
1	1	MASC03898	MASC03898	1	276923	276923	chr3	2.11733884358698	0.006	0.597
2	2	NMSNP3_297894	NMSNP3_297894	1	NA	NA	chr3	1.67668363947605	0.028	0.86
3	3	MN3_580517	MN3_580517	1	580519	580519	chr3	1.54472765015928	0.033	0.915
4	4	MN3_691072	MN3_691072	1	691073	691073	chr3	1.58320757352699	0.028	0.901
5	5	RGL2_3396	RGL2_3396	1	819043	819043	chr3	1.71191897739727	0.021	0.843
6	6	RGL2_3255	RGL2_3255	1	819167	819167	chr3	1.51629306634352	0.035	0.922
7	7	RGL2_2959	RGL2_2959	1	819463	819463	chr3	1.56036721929833	0.035	0.914
8	8	RGL2_2115	RGL2_2115	1	820307	820307	chr3	1.79497215302795	0.018	0.795
9	9	RGL2_617	RGL2_617	1	821805	821805	chr3	1.32786447504376	0.058	0.98
10	10	MN3_965032	MN3_965032	1	965033	965033	chr3	1.24156426370529	0.07	0.991
11	11	MASC03001	MASC03001	1	971411	971411	chr3	1.32805071270328	0.057	0.98
12	12	FLK_2200	FLK_2200	1	1253530	1253530	chr3	1.00040395446866	0.105	1
13	13	FLK_1526	FLK_1526	1	1254204	1254204	chr3	0.999585023834502	0.105	1
14	14	FLK_958	FLK_958	1	1254771	1254771	chr3	1.05386740516405	0.093	1
15	15	MN3_1271206	MN3_1271206	1	1271204	1271204	chr3	1.46023311705181	0.04	0.949
16	16	GAr2_1349	GAr2_1349	1	1430779	1430779	chr3	1.53198135656781	0.032	0.917
17	17	NMSNP3_1638652	NMSNP3_1638652	1	NA	NA	chr3	1.36379467976223	0.04	0.974
18	18	NMSNP3_1689583	NMSNP3_1689583	1	NA	NA	chr3	1.26004247649571	0.055	0.99
19	19	MASC00175	MASC00175	1	1742714	1742714	chr3	1.37673923686934	0.04	0.97
20	20	MN3_1803905	MN3_1803905	1	1803906	1803906	chr3	1.72763107049183	0.019	0.83
21	21	NMSNP3_2216922	NMSNP3_2216922	1	NA	NA	chr3	2.00817951089880	0.012	0.658
22	22	MN3_2232003	MN3_2232003	1	2232005	2232005	chr3	2.06134102462049	0.008	0.625
23	23	MN3_2232935	MN3_2232935	1	2232934	2232934	chr3	2.25302868666822	0.004	0.521
24	24	MN3_2236560	MN3_2236560	1	2236561	2236561	chr3	2.48265134193769	0	0.381
25	25	MN3_2236721	MN3_2236721	1	2236723	2236723	chr3	2.54842977140172	0	0.349
26	26	MN3_2485350	MN3_2485350	1	2485351	2485351	chr3	2.59722048589811	0.002	0.326
27	27	MN3_2565035	MN3_2565035	1	2565036	2565036	chr3	2.76117741490137	0	0.252
28	28	MN3_2770433	MN3_2770433	1	2770434	2770434	chr3	2.85760438911662	0	0.206
29	29	MASC07180	MASC07180	1	2903325	2903325	chr3	2.82034967554761	0.001	0.227
30	30	MN3_2967877	MN3_2967877	1	2967878	2967878	chr3	2.95487248821436	0	0.178
31	31	MN3_3344789	MN3_3344789	1	3344790	3344790	chr3	3.25163487116961	0	0.111
32	32	MASC03344	MASC03344	1	3463237	3463237	chr3	2.94012994496381	0.001	0.181
33	33	MASC00560	MASC00560	1	3578605	3578605	chr3	2.70966457773895	0.002	0.273
34	34	MASC00564	MASC00564	1	3580022	3580022	chr3	3.13587787600269	0	0.134
35	35	MN3_3610522	MN3_3610522	1	3610522	3610522	chr3	3.75454371746755	0	0.044
36	36	SPY_1453	SPY_1453	1	3632334	3632334	chr3	3.62136731589192	0	0.056
37	37	SPY_3013	SPY_3013	1	3633894	3633894	chr3	3.58266530686443	0	0.06
38	38	SPY_5334	SPY_5334	1	3636215	3636215	chr3	3.37867171301386	0	0.089
39	39	MN3_3679292	MN3_3679292	1	3679293	3679293	chr3	3.54344299686001	0	0.069
40	40	MN3_3679541	MN3_3679541	1	3679542	3679542	chr3	3.01954206304599	0	0.156
41	41	MN3_3895975	MN3_3895975	1	3895976	3895976	chr3	3.0505958941627	0	0.148
42	42	MN3_3991983	MN3_3991983	1	3991984	3991984	chr3	3.03106765877185	0.001	0.153
43	43	PIE1_701	PIE1_701	1	4065480	4065480	chr3	2.93914796577615	0.002	0.181
44	44	PIE1_898	PIE1_898	1	4065677	4065677	chr3	2.80720514235774	0.004	0.235
45	45	PIE1_1867	PIE1_1867	1	4066644	4066644	chr3	2.79687806003801	0.004	0.24
46	46	PIE1_5824	PIE1_5824	1	4070600	4070600	chr3	2.82212510538296	0.002	0.227
47	47	PIE1_7118	PIE1_7118	1	4071894	4071894	chr3	2.91669543452458	0.001	0.188
48	48	PIE1_8627	PIE1_8627	1	4073403	4073403	chr3	2.89178046289834	0.001	0.197
49	49	PIE1_9146	PIE1_9146	1	4073919	4073919	chr3	3.00936067531044	0.001	0.159
50	50	MN3_4141103	MN3_4141103	1	4141104	4141104	chr3	3.00620468425967	0	0.161
51	51	MN3_4194859	MN3_4194859	1	4194860	4194860	chr3	3.21312107958097	0	0.119
52	52	MASC04486	MASC04486	1	4237510	4237510	chr3	3.21431770739694	0.001	0.118
53	53	MN3_4305074	MN3_4305074	1	4305075	4305075	chr3	3.19587711027746	0.001	0.121
54	54	MN3_4356066	MN3_4356066	1	4356067	4356067	chr3	3.28627975275529	0.001	0.105
55	55	MN3_4470311	MN3_4470311	1	4470312	4470312	chr3	3.37205683234025	0	0.09
56	56	MN3_4591414	MN3_4591414	1	4591415	4591415	chr3	3.46869806917192	0.001	0.077
57	57	MASC02947	MASC02947	1	4625772	4625772	chr3	3.45733036854682	0.002	0.079
58	58	MASC01400	MASC01400	1	4738893	4738893	chr3	3.3697122246333	0.002	0.091
59	59	MASC04507	MASC04507	1	4823158	4823158	chr3	3.40663902475074	0.001	0.083
60	60	NMSNP3_4991903	NMSNP3_4991903	1	NA	NA	chr3	3.38785044171227	0.002	0.088
61	61	NMSNP3_5091855	NMSNP3_5091855	1	NA	NA	chr3	3.15713374021626	0.002	0.13
62	62	MN3_5210480	MN3_5210480	1	5210481	5210481	chr3	3.0166464022579	0.002	0.156
63	63	MN3_5299949	MN3_5299949	1	5299950	5299950	chr3	3.1760231161265	0.002	0.124
64	64	MN3_5440626	MN3_5440626	1	5440627	5440627	chr3	3.17424202565637	0.002	0.125
65	65	MASC04409	MASC04409	1	5608005	5608005	chr3	3.04709200745518	0.001	0.148
66	66	MN3_5640301	MN3_5640301	1	5640302	5640302	chr3	3.04724835364851	0.001	0.148
67	67	MN3_5749951	MN3_5749951	1	5749952	5749952	chr3	2.77222400700224	0.001	0.246
68	68	MN3_5910420	MN3_5910420	1	5910421	5910421	chr3	2.60037356178622	0.003	0.326
69	69	MASC01537	MASC01537	1	6192392	6192392	chr3	2.57484404499701	0.003	0.335
70	70	MN3_6240600	MN3_6240600	1	6240601	6240601	chr3	2.53692587684025	0.003	0.356
71	71	MASC01747	MASC01747	1	6312588	6312588	chr3	2.52526346403894	0.003	0.359
72	72	MN3_6450403	MN3_6450403	1	6450404	6450404	chr3	2.47214334955700	0.003	0.387
73	73	MASC04279	MASC04279	1	6536035	6536035	chr3	2.49563111980561	0.004	0.376
74	74	MASC04295	MASC04295	1	6563040	6563040	chr3	2.39511171751267	0.005	0.441
75	75	MN3_6811299	MN3_6811299	1	6811300	6811300	chr3	2.27430639821385	0.006	0.509
76	76	MN3_6890804	MN3_6890804	1	6890805	6890805	chr3	2.20944777799919	0.008	0.547
77	77	MASC02637	MASC02637	1	6996123	6996123	chr3	2.28222728479761	0.006	0.505
78	78	MN3_7120942	MN3_7120942	1	7120943	7120943	chr3	2.03661922204195	0.008	0.636
79	79	MN3_7225496	MN3_7225496	1	7225497	7225497	chr3	2.21415357298016	0.005	0.541
80	80	MN3_7392098	MN3_7392098	1	7392099	7392099	chr3	2.16914489883059	0.006	0.568
81	81	MASC01568	MASC01568	1	7413260	7413260	chr3	2.23574669442116	0.006	0.531
82	82	MASC01672	MASC01672	1	7451911	7451911	chr3	1.84790762091043	0.013	0.762
83	83	MASC02447	MASC02447	1	7564208	7564208	chr3	1.60598776766138	0.023	0.894
84	84	MN3_7590615	MN3_7590615	1	7590616	7590616	chr3	1.56926670271260	0.032	0.912
85	85	MASC01373	MASC01373	1	7796265	7796265	chr3	2.11335339984443	0.009	0.599
86	86	MN3_7842354	MN3_7842354	1	7842355	7842355	chr3	1.54673115437195	0.038	0.915
87	87	MN3_7917701	MN3_7917701	1	7917702	7917702	chr3	1.43204043788977	0.046	0.96
88	88	NMSNP3_7976242	NMSNP3_7976242	1	NA	NA	chr3	1.28950171718708	0.057	0.986
89	89	NMSNP3_8041859	NMSNP3_8041859	1	NA	NA	chr3	0.972115128559615	0.11	1
90	90	MN3_8042142	MN3_8042142	1	8042143	8042143	chr3	1.10617969286149	0.084	0.999
91	91	MASC04053	MASC04053	1	8100142	8100142	chr3	1.06998469483066	0.095	1
92	92	MN3_8118135	MN3_8118135	1	8118137	8118137	chr3	1.07735093140516	0.092	1
93	93	MN3_8190264	MN3_8190264	1	8190265	8190265	chr3	1.08920839581640	0.091	1
94	94	AXR2_486	AXR2_486	1	8196108	8196108	chr3	1.05607961548669	0.092	1
95	95	MASC04302	MASC04302	1	8241601	8241601	chr3	0.963630697867785	0.119	1
96	96	NMSNP3_8447967	NMSNP3_8447967	1	NA	NA	chr3	0.877887986564592	0.146	1
97	97	MN3_8448466	MN3_8448466	1	8448467	8448467	chr3	0.834612346033175	0.161	1
98	98	MASC02733	MASC02733	1	8460299	8460299	chr3	0.826426113943124	0.161	1
99	99	MN3_8535358	MN3_8535358	1	8535359	8535359	chr3	0.832260620344324	0.165	1
100	100	MASC00324	MASC00324	1	8643724	8643724	chr3	0.815940545257238	0.17	1
101	101	MN3_8693286	MN3_8693286	1	8693287	8693287	chr3	0.946869918707436	0.124	1
102	102	MN3_8693523	MN3_8693523	1	8693525	8693525	chr3	0.968194099190572	0.113	1
103	103	MN3_8828575	MN3_8828575	1	8828576	8828576	chr3	0.929148624580422	0.124	1
104	104	MN3_8971383	MN3_8971383	1	8971365	8971365	chr3	0.985968490774984	0.11	1
105	105	MASC04510	MASC04510	1	8980047	8980047	chr3	1.09282111226636	0.086	1
106	106	MASC04560	MASC04560	1	9025008	9025008	chr3	0.959450175467183	0.122	1
107	107	MASC04498	MASC04498	1	9184731	9184731	chr3	0.990861837056617	0.121	1
